,CC-period-start,CC-period-stop
0,413.932239,469.687601
1,475.263799,580.662614
2,581.512137,622.715229
3,624.839038,710.324744
4,716.167619,736.131422
5,736.797512,783.812131
6,785.245702,834.785944
7,850.979986,883.0507
8,885.068318,1028.804282
9,1029.653806,1152.308568
10,1155.122614,1275.705462
11,1282.767126,1372.131184
12,1372.927612,1405.900945
13,1411.635229,1611.174271
14,1611.864509,1772.994254
15,1775.277348,1893.25853
16,1896.656624,1923.047349
17,1924.215444,1975.453533
18,1976.515438,2009.010913
19,2010.444484,2013.683292
20,2014.798292,2019.417576
21,2035.294248,2157.259971
22,2159.224494,2197.665434
23,2203.82448,2241.788764
24,2254.851388,2292.444005
25,2311.400199,2376.444245
26,2382.231624,2404.745198
27,2407.50615,2421.682574
28,2430.233304,2452.745678
29,2455.400439,2478.072099
30,2480.62067,2503.134243
31,2505.895195,2528.408769
32,2531.06353,2553.577104
33,2556.338055,2578.851629
34,2581.559486,2604.018764
35,2606.780916,2629.29329
36,2631.94805,2654.408529
37,2657.116386,2679.683054
38,2682.39211,2704.745199
39,2707.665436,2730.125915
40,2732.780676,2755.347345
41,2758.108296,2780.568775
42,2783.276632,2805.789005
43,2808.337576,2830.904245
44,2833.612102,2855.96639
45,2858.780436,2881.29401
46,2884.054962,2906.674726
47,2909.223297,2931.73567
48,2934.550917,2956.957101
49,2959.718052,2982.07234
50,2984.939482,3007.346866
51,3010.160912,3032.568296
52,3035.329248,3057.736631
53,3060.444487,3083.063052
54,3085.719012,3108.337577
55,3110.992338,3133.505912
56,3136.213768,3158.727342
57,3161.329008,3184.001868
58,3186.603534,3209.117107
59,3211.771868,3234.443528
60,3237.046394,3259.505672
61,3262.266624,3284.727102
62,3287.488054,3309.895438
63,3312.603294,3335.276153
64,3337.771628,3360.497584
65,3363.046154,3385.665918
66,3388.267584,3410.779958
67,3413.54091,3436.001388
68,3438.603054,3461.169723
69,3463.87758,3486.444249
70,3489.152105,3511.771869
71,3514.32044,3536.887109
72,3539.64806,3562.160434
73,3564.709005,3587.276874
74,3589.98473,3612.5502
75,3615.151865,3637.77163
76,3640.373296,3662.886869
77,3665.594726,3688.21449
78,3690.816156,3713.381625
79,3716.090681,3738.54996
80,3741.417102,3763.87758
81,3766.532342,3772.585197
82,3787.081392,3809.489976
83,3812.463308,3834.816396
84,3837.364967,3860.142817
85,3862.638292,3885.258057
86,3887.859722,3910.638772
87,3913.028058,3935.754012
88,3938.249488,3961.028538
89,3963.577108,3986.249968
90,3988.692348,4011.364008
91,4013.965674,4036.532342
92,4039.187104,4061.753773
93,4064.302343,4087.081393
94,4089.576869,4112.196633
95,4114.745204,4137.313073
96,4139.914738,4162.586398
97,4165.188064,4187.753533
98,4190.195913,4212.869973
99,4215.577829,4238.249488
100,4240.79806,4258.108301
101,4335.417344,4358.037108
102,4360.638774,4383.311634
103,4385.860204,4396.638534
104,4411.081634,4433.594008
105,4436.143779,4439.170206
106,4496.46235,4518.868534
107,4521.523295,4544.089964
108,4546.850916,4569.311394
109,4571.966155,4594.58592
110,4597.13449,4619.754254
111,4622.302825,4644.975685
112,4647.630446,4670.195915
113,4768.373779,4790.992344
114,4793.59401,4816.213774
115,4818.81544,4841.382109
116,4844.03687,4866.550444
117,4869.15211,4891.824969
118,4894.426635,4917.099494
119,4919.59497,4933.771394
120,5010.922351,5033.48902
121,5036.14378,5039.966636
122,5062.37282,5084.93949
123,5087.48806,5110.160919
124,5112.70949,5135.38235
125,5137.93092,5154.623507
